year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
2023,USA,fishing,M,,no,2023-04-09 00:00:00,09-Apr-2023,4,Spring
2023,USA,surfing,M,58,no,2023-04-09 00:00:00,09-Apr-2023,4,Spring
2023,USA,surfing,M,67,no,2023-03-25 00:00:00,25-Mar-2023,3,Spring
2023,CUBA,fishing,M,17,no,2023-03-25 00:00:00,25-Mar-2023,3,Spring
2023,AUSTRALIA,wading,M,30s,no,2023-03-22 00:00:00,22-Mar-2023,3,Spring
2023,USA,swimming,M,60,no,2023-03-19 00:00:00,19-Mar-2023,3,Spring
2023,MEXICO,swimming,M,10,no,2023-03-17 00:00:00,17-Mar-2023,3,Spring
2023,AUSTRALIA,surf-sking,F,,no,2023-03-16 00:00:00,16-Mar-2023,3,Spring
2023,BRAZIL,swimming,F,15,no,2023-03-06 00:00:00,06-Mar-2023,3,Spring
2023,BRAZIL,swimming,M,14,no,2023-03-05 00:00:00,05-Mar-2023,3,Spring
2023,SEYCHELLES,snorkeling,M,6,unknown,2023-03-02 00:00:00,02-Mar-2023,3,Spring
2023,BRAZIL,surfing,M,32,no,2023-02-21 00:00:00,21-Feb-2023,2,Winter
2023,NEW CALEDONIA,swimming,M,59,unknown,2023-02-19 00:00:00,19-Feb-2023,2,Winter
2023,USA,surfing,M,60,no,2023-02-19 00:00:00,19-Feb-2023,2,Winter
2023,ARGENTINA,,M,32,unknown,2023-02-18 00:00:00,18-Feb-2023,2,Winter
2023,FIJI,fishing,M,41,no,2023-02-17 00:00:00,17-Feb-2023,2,Winter
2023,AUSTRALIA,swimming,F,16,yes,2023-02-04 00:00:00,04-Feb-2023,2,Winter
2023,AUSTRALIA,fishing,M,8,no,2023-01-30 00:00:00,30-Jan-2023,1,Winter
2023,MeXICO,diving,M,53,yes,2023-01-05 00:00:00,05-Jan-2023,1,Winter
2023,USA,spearishing,M,30,no,2023-01-01 00:00:00,01-Jan-2023,1,Winter
2023,Maldives,snorkeling,F,30,no,2023-01-01 00:00:00,Jan-2023,1,Winter
2022,South Africa,diving,M,26,no,2022-12-30 00:00:00,30-Dec-2022,12,Winter
2022,USA,swimming,M,68,no,2022-12-13 00:00:00,13-Dec-2022,12,Winter
2022,AUSTRALIA,swimming,M,15,no,2022-12-11 00:00:00,11 Dec-2022,12,Winter
2022,USA,diving,M,43,no,2022-12-09 00:00:00,09-Dec-2022,12,Winter
